kanji,heisigId,heisigKeyword,jpdbKeyword
一,1,one,one
二,2,two,two
三,3,three,three
四,4,four,four
五,5,five,five
六,6,six,six
七,7,seven,seven
八,8,eight,eight
九,9,nine,nine
十,10,ten,ten
口,11,mouth,mouth
日,12,day,sun
月,13,month,moon
田,14,rice field,rice field
目,15,eye,eye
古,16,old,old
吾,17,I,me (ceremonial)
冒,18,risk,dare
朋,19,companion,companion
明,20,bright,bright
唱,21,chant,chant
晶,22,sparkle,crystal
品,23,goods,goods
呂,24,spine,bathtub
昌,25,prosperous,good and prosperous
早,26,early,early
旭,27,rising sun,rising sun
世,28,generation,world
胃,29,stomach,stomach
旦,30,nightbreak,start of a day
胆,31,gall bladder,gall bladder
亘,32,span,span
凹,33,concave,concave
凸,34,convex,convex
旧,35,olden times,old times
自,36,oneself,self
白,37,white,white
百,38,hundred,hundred
中,39,in,in
千,40,thousand,thousand
舌,41,tongue,tongue
升,42,measuring box,almost 2 litres
昇,43,rise up,ascend
丸,44,round,circle
寸,45,measurement,a few centimeters
専,46,specialty,specialty
博,47,Dr.,expert
占,48,fortune-telling,fortune-telling
上,49,above,above
下,50,below,below
卓,51,eminent,table
朝,52,morning,morning
只,53,only,ordinary
貝,54,shellfish,shellfish
貞,55,upright,principled
員,56,employee,member
見,57,see,see
児,58,newborn babe,kid
元,59,beginning,origin
頁,60,page,page
頑,61,stubborn,stubborn
凡,62,mediocre,mediocre
負,63,defeat,lose to (something)
万,64,ten thousand,ten thousand
句,65,phrase,phrase
肌,66,texture,skin
旬,67,decameron,ten days
勺,68,ladle,a spoonful of fluid
的,69,bull's eye,target
首,70,neck,neck
乙,71,fish guts,latter
乱,72,riot,chaos
直,73,straightaway,straight
具,74,tool,tool
真,75,true,truth
工,76,craft,construction
左,77,left,left
右,78,right,right
有,79,possess,be in possession
賄,80,bribe,supply with
貢,81,tribute,tribute
項,82,paragraph,paragraph
刀,83,sword,katana
刃,84,blade,edge (of a knife or sword)
切,85,cut,cut
召,86,seduce,to summon
昭,87,shining,shining
則,88,rule,rules
副,89,vice-,secondary
別,90,separate,separate
丁,91,street,street
町,92,village,town
可,93,can,can do
頂,94,place on the head,top of
子,95,child,child
孔,96,cavity,small hole
了,97,complete,finish
女,98,woman,woman
好,99,fond,liked
如,100,likeness,comparable
母,101,mama,mother
貫,102,pierce,pierce through
兄,103,elder brother,older brother
克,104,overcome,overcome
小,105,little,small
少,106,few,few
大,107,large,large
多,108,many,many
夕,109,evening,evening (before sunset)
汐,110,eventide,evening tide
外,111,outside,outside
名,112,name,name
石,113,stone,stone
肖,114,resemblance,be worthy of
硝,115,nitrate,nitric
砕,116,smash,break into pieces
砂,117,sand,sand
削,118,plane,scrape off
光,119,ray,ray
太,120,plump,plump
器,121,utensil,instrument
臭,122,stinking,smelly
妙,123,exquisite,strange
省,124,focus,cut down and focus
厚,125,thick,thick (in size)
奇,126,strange,odd
川,127,stream,river
州,128,state,state
順,129,obey,sequence
水,130,water,water
氷,131,icicle,ice
永,132,eternity,eternity
泉,133,spring,fountain
原,134,meadow,original
願,135,petition,wish
泳,136,swim,swim
沼,137,marsh,swamp
沖,138,open sea,open sea
江,139,creek,large river
汁,140,soup,soup
潮,141,tide,tide
源,142,source,source
活,143,lively,activity
消,144,extinguish,extinguish
況,145,but of course,state of affairs
河,146,river,waterway
泊,147,overnight,stay overnight
湖,148,lake,lake
測,149,fathom,survey
土,150,soil,earth
吐,151,spit,vomit
圧,152,pressure,pressure
埼,153,cape,small peninsula
垣,154,hedge,fence
圭,155,squared jewel,square jewel
封,156,seal,seal
涯,157,horizon,horizon
寺,158,Buddhist temple,Buddhist temple
時,159,time,time
均,160,level,equalize
火,161,fire,fire
炎,162,inflammation,intense flame
煩,163,anxiety,troublesome
淡,164,thin,watered down
灯,165,lamp,lamp
畑,166,farm,farm field
災,167,disaster,natural disaster
灰,168,ashes,ashes
点,169,spot,point
照,170,illuminate,illuminate
魚,171,fish,fish
漁,172,fishing,gathering seafood
里,173,ri,home village
黒,174,black,black
墨,175,black ink,black ink
鯉,176,carp,carp
量,177,quantity,quantity
厘,178,rin,one-hundredth
埋,179,bury,to fill up (a hole)
同,180,same,same
洞,181,den,cave
胴,182,trunk,torso
向,183,yonder,direction
尚,184,esteem,even more
字,185,character,a character
守,186,guard,protect
完,187,perfect,complete
宣,188,proclaim,formally declare
宵,189,wee hours,early night
安,190,relax,peace of mind
宴,191,banquet,banquet
寄,192,draw near,get near
富,193,wealth,wealth
貯,194,savings,save up
木,195,tree,tree
林,196,grove,a bunch of trees
森,197,forest,forest
桂,198,Japanese Judas-tree,katsura tree
柏,199,oak,oak
枠,200,frame,outer frame
梢,201,treetops,treetops
棚,202,shelf,shelf
杏,203,apricot,apricot
桐,204,paulownia,paulownia tree
植,205,plant,plant
枯,206,wither,wither
朴,207,crude,crude
村,208,town,village
相,209,inter-,towards each other
机,210,desk,wooden desk
本,211,book,book
札,212,tag,note
暦,213,calendar,calendar
案,214,plan,proposal
燥,215,parch,dried up
未,216,not yet,not yet
末,217,extremity,end part
沫,218,splash,splash
味,219,flavor,flavor
妹,220,younger sister,younger sister
朱,221,vermilion,deep red
株,222,stocks,stocks
若,223,young,young
草,224,grass,grass
苦,225,suffering,suffering
寛,226,tolerant,lenient
薄,227,dilute,thin in volume
葉,228,leaf,leaf
模,229,imitation,look like something
漠,230,vague,boundless
墓,231,grave,grave
暮,232,livelihood,day-to-day life
膜,233,membrane,membrane
苗,234,seedling,seedling
兆,235,portent,omen
桃,236,peach tree,peach
眺,237,stare,stare at
犬,238,dog,dog
状,239,status quo,condition
黙,240,silence,shut up
然,241,sort of thing,sort of thing
荻,242,reed,silvergrass
狩,243,hunt,hunt
猫,244,cat,cat
牛,245,cow,cow
特,246,special,special
告,247,revelation,reveal
先,248,before,before (timewise)
洗,249,wash,wash
介,250,jammed in,mediate
界,251,world,realm
茶,252,tea,tea
合,253,fit,come together
塔,254,pagoda,tower
王,255,king,king
玉,256,jewel,ball
宝,257,treasure,treasure
珠,258,pearl,pearl
現,259,present,right now
狂,260,lunatic,insane
皇,261,emperor,imperial
呈,262,display,to present
全,263,whole,whole
栓,264,plug,plug
理,265,logic,logic
主,266,lord,(one's) master
注,267,pour,pour
柱,268,pillar,pillar
金,269,gold,gold
銑,270,pig iron,pig iron
鉢,271,bowl,bowl
銅,272,copper,copper
釣,273,angling,fishing
針,274,needle,needle
銘,275,inscription,engraved inscription
鎮,276,tranquillize,calm down
道,277,road-way,roadway
導,278,guidance,to guide
辻,279,crossing,street corner
迅,280,swift,swift
造,281,create,create
迫,282,urge,draw very near
逃,283,escape,escape
辺,284,environs,local area
巡,285,patrol,go around
車,286,car,vehicle
連,287,take along,take along
軌,288,rut,tracks
輸,289,transport,transport (in or out)
前,290,in front,in front of
各,291,each,each
格,292,status,status
略,293,abbreviation,outline
客,294,guest,guest
額,295,forehead,amount of money
夏,296,summer,summer
処,297,dispose,dispose of
条,298,twig,clause
落,299,fall,fall down
冗,300,superfluous,superfluous
軍,301,army,army
輝,302,radiance,shine
運,303,carry,carry
冠,304,crown,crown
夢,305,dream,dream
坑,306,pit,pit
高,307,tall,high
享,308,receive,receive naturally
塾,309,cram school,cram school
熟,310,mellow,mature
亭,311,pavilion,establishment
京,312,capital,capital
涼,313,refreshing,refreshing coolness
景,314,scenery,scenery
鯨,315,whale,whale
舎,316,cottage,building
周,317,circumference,circumference
週,318,week,week
士,319,gentleman,professional
吉,320,good luck,good luck
壮,321,robust,robust
荘,322,villa,villa
売,323,sell,sell
学,324,study,study
覚,325,memorize,awareness
栄,326,flourish,flourish
書,327,write,write
津,328,haven,harborside
牧,329,breed,flock
攻,330,aggression,attack
敗,331,failure,defeated
枚,332,sheet of,a sheet of
故,333,happenstance,past
敬,334,awe,respect
言,335,say,say
警,336,admonish,to police (something)
計,337,plot,measure
獄,338,prison,prison
訂,339,revise,revise
討,340,chastise,attack to kill
訓,341,instruction,instruct
詔,342,imperial edict,imperial edict
詰,343,packed,packed with
話,344,tale,to speak
詠,345,recitation,compose a poem
詩,346,poem,poem
語,347,word,language
読,348,read,read
調,349,tune,tone
談,350,discuss,conversation
諾,351,consent,consent
諭,352,rebuke,rebuke
式,353,style,ceremony
試,354,test,test
弐,355,II (two),two (formal)
域,356,range,region
賊,357,burglar,bandit
栽,358,plantation,cultivate (a plant)
載,359,load,appear in print
茂,360,overgrown,overgrown
成,361,turn into,become
城,362,castle,castle
誠,363,sincerity,sincerity
威,364,intimidate,terrifying authority
滅,365,destroy,perish
減,366,dwindle,reduction
桟,367,scaffold,wooden crosspiece
銭,368,coin,coin
浅,369,shallow,shallow
止,370,stop,stop
歩,371,walk,walk
渉,372,ford,cross a river on foot
頻,373,repeatedly,repeatedly
肯,374,agreement,positive agreement
企,375,undertake,scheme
歴,376,curriculum,chronicle
武,377,warrior,military
賦,378,levy,levy
正,379,correct,correct
証,380,evidence,proof
政,381,politics,politics
定,382,determine,define
錠,383,lock,a lock
走,384,run,run
超,385,transcend,exceed
赴,386,proceed,proceed
越,387,surpass,go beyond
是,388,just so,go with
題,389,topic,topic
堤,390,dike,embankment
建,391,build,build
延,392,prolong,prolong
誕,393,nativity,birth
礎,394,cornerstone,cornerstone
婿,395,bridegroom,bridegroom
衣,396,garment,garment
裁,397,tailor,to judge
装,398,attire,outfit
裏,399,back,backside
壊,400,demolition,break
哀,401,pathetic,pitiful
遠,402,distant,far
猿,403,monkey,monkey
初,404,first time,first time
布,405,linen,cloth
帆,406,sail,sail
幅,407,hanging scroll,width
帽,408,cap,hat
幕,409,curtain,curtain
幌,410,canopy,canopy
錦,411,brocade,beautifully embroidered
市,412,market,city
姉,413,elder sister,older sister
肺,414,lungs,lung
帯,415,sash,belt
滞,416,stagnate,stay in one place
刺,417,thorn,stab
制,418,system,control
製,419,made in...,manufactured
転,420,revolve,roll around
芸,421,technique,art
雨,422,rain,rain
雲,423,cloud,cloud
曇,424,cloudy weather,get cloudy
雷,425,thunder,thunder
霜,426,frost,frost
冬,427,winter,winter
天,428,heavens,heaven
橋,429,bridge,bridge
嬌,430,attractive,charming
立,431,stand up,standing up
泣,432,cry,cry
章,433,badge,chapter
競,434,vie,compete
